key	row	track	major	planned	admitted	maximum	minimum	average
tlu-table	1	物理	地理信息科学		5	479	453	464
tlu-table	2	物理	土木工程		5	463	448	453.2
wnu-13	1	历史	中国共产党历史	3	3	473	471	""
wnu-13	2	历史	汉语言文学	2	2	479	472	""
wnu-13	3	历史	汉语言文学（非师范）	3	3	468	465	""
wnu-13	4	历史	思想政治教育	4	4	480	473	""
wnu-13	5	历史	旅游管理	4	3	446	442	""
wnu-13	6	历史	汉语国际教育	3	3	464	447	""
wnu-13	7	历史	家政学	2	2	457	454	""
wnu-13	8	物理	教育技术学	3	3	437	430	""
wnu-13	9	物理	小学教育	5	5	448	432	""
wnu-13	10	物理	应急管理	4	4	443	434	""
wnu-13	11	物理	物理学	5	5	443	436	""
wnu-13	12	物理	数学与应用数学	4	4	465	450	""
wnu-13	13	物理	光电信息科学与工程	3	3	489	450	""
wnu-13	14	物理	化学	2	2	457	435	""
wnu-13	15	物理	材料化学	4	4	451	436	""
wnu-13	16	物理	地理科学	2	2	465	459	""
wnu-13	17	物理	生物科学	2	2	446	441	""
wnu-13	18	物理	农业资源与环境	5	5	439	433	""
wnu-13	19	物理	计算机科学与技术	2	2	476	459	""
wnu-13	20	物理	软件工程	2	2	453	453	""
wnu-13	21	物理	人工智能	3	3	472	452	""
