track	row	group	city	county	planned	admitted	maximum	minimum
历史	1	401	南宁市	横州市	1	1	582	582
历史	2	401	南宁市	隆安县	1	1	553	553
历史	3	402	柳州市	柳城县	2	2	576	535
历史	4	402	柳州市	柳江区	1	1	594	594
历史	5	402	柳州市	融安县	1	1	526	526
历史	6	402	柳州市	融水苗族自治县	1	1	528	528
历史	7	403	桂林市	龙胜各族自治县	2	2	582	559
历史	8	405	玉林市	博白县	2	2	560	557
历史	9	405	玉林市	陆川县	1	1	609	609
历史	10	406	百色市	乐业县	1	1	541	541
历史	11	406	百色市	隆林各族自治县	1	1	547	547
历史	12	406	百色市	平果市	1	1	549	549
历史	13	406	百色市	田林县	2	2	547	542
历史	14	406	百色市	田阳区	1	1	548	548
历史	15	407	河池市	巴马瑶族自治县	1	1	550	550
历史	16	407	河池市	凤山县	1	1	543	543
历史	17	407	河池市	环江毛南族自治县	2	2	552	534
历史	18	407	河池市	罗城仫佬族自治县	1	1	534	534
历史	19	407	河池市	宜州区	1	1	540	540
历史	20	408	贵港市	桂平市	3	3	594	561
历史	21	408	贵港市	平南县	1	1	575	575
历史	22	409	来宾市	合山市	1	1	548	548
历史	23	410	贺州市	富川瑶族自治县	1	1	549	549
历史	24	411	崇左市	扶绥县	1	1	549	549
历史	25	411	崇左市	龙州县	1	1	535	535
历史	26	412	钦州市	灵山县	1	1	537	537
历史	27	412	钦州市	浦北县	2	2	568	537
历史	28	412	钦州市	钦南区	1	1	552	552
物理	1	451	南宁市	横州市	2	2	561	539
物理	2	451	南宁市	隆安县	2	2	549	541
物理	3	451	南宁市	马山县	1	1	542	542
物理	4	451	南宁市	上林县	1	1	545	545
物理	5	452	柳州市	柳城县	3	3	503	473
物理	6	452	柳州市	柳江区	2	2	541	527
物理	7	452	柳州市	融安县	1	1	494	494
物理	8	452	柳州市	融水苗族自治县	1	1	505	505
物理	9	453	桂林市	荔浦市	1	1	588	588
物理	10	453	桂林市	龙胜各族自治县	4	4	563	548
物理	11	453	桂林市	平乐县	1	1	578	578
物理	12	454	梧州市	苍梧县	1	1	582	582
物理	13	454	梧州市	长洲区	1	1	541	541
物理	14	454	梧州市	岑溪市	1	1	578	578
物理	15	455	玉林市	博白县	3	3	567	554
物理	16	455	玉林市	陆川县	1	1	552	552
物理	17	455	玉林市	容县	1	1	571	571
物理	18	456	百色市	乐业县	1	1	513	513
物理	19	456	百色市	隆林各族自治县	1	1	574	574
物理	20	456	百色市	平果市	1	1	557	557
物理	21	456	百色市	田林县	6	6	527	508
物理	22	456	百色市	田阳区	1	1	544	544
物理	23	457	河池市	巴马瑶族自治县	1	1	547	547
物理	24	457	河池市	大化瑶族自治县	1	1	582	582
物理	25	457	河池市	凤山县	1	1	542	542
物理	26	457	河池市	环江毛南族自治县	3	3	555	529
物理	27	457	河池市	金城江区	1	1	587	587
物理	28	457	河池市	罗城仫佬族自治县	1	1	538	538
物理	29	457	河池市	天峨县	1	1	527	527
物理	30	457	河池市	宜州区	3	3	564	552
物理	31	458	贵港市	桂平市	7	7	566	550
物理	32	458	贵港市	平南县	1	1	569	569
物理	33	459	来宾市	合山市	1	1	558	558
物理	34	460	贺州市	富川瑶族自治县	1	1	565	565
物理	35	460	贺州市	平桂区	1	1	530	530
物理	36	461	崇左市	扶绥县	2	2	561	533
物理	37	461	崇左市	江州区	1	1	559	559
物理	38	461	崇左市	龙州县	1	1	544	544
物理	39	461	崇左市	凭祥市	1	1	507	507
物理	40	462	钦州市	灵山县	1	1	553	553
物理	41	462	钦州市	浦北县	5	5	588	538
物理	42	462	钦州市	钦北区	1	1	537	537
物理	43	462	钦州市	钦南区	2	2	537	533
物理	44	464	防城港市	上思县	1	1	575	575
